date,fund_house,aum_lakh_crore,aum_crore,num_schemes,year,month,year_month,aum_share_pct
2022-03-31,SBI Mutual Fund,6.05,605000,186,2022,3,2022-03,20.046388336646785
2022-03-31,ICICI Prudential MF,4.65,465000,216,2022,3,2022-03,15.40755467196819
2022-03-31,HDFC Mutual Fund,4.35,435000,195,2022,3,2022-03,14.41351888667992
2022-03-31,Nippon India MF,2.7,270000,177,2022,3,2022-03,8.946322067594433
2022-03-31,Kotak Mahindra MF,2.7,270000,168,2022,3,2022-03,8.946322067594433
2022-03-31,Aditya Birla Sun Life MF,2.78,278000,199,2022,3,2022-03,9.211398277004639
2022-03-31,Axis Mutual Fund,2.5,250000,95,2022,3,2022-03,8.28363154406892
2022-03-31,UTI Mutual Fund,2.3,230000,142,2022,3,2022-03,7.620941020543406
2022-03-31,Mirae Asset MF,1.05,105000,56,2022,3,2022-03,3.4791252485089466
2022-03-31,DSP Mutual Fund,1.1,110000,88,2022,3,2022-03,3.6447978793903246
2022-09-30,SBI Mutual Fund,6.3,630000,186,2022,9,2022-09,20.388349514563107
2022-09-30,ICICI Prudential MF,4.88,488000,216,2022,9,2022-09,15.792880258899677
2022-09-30,HDFC Mutual Fund,4.45,445000,195,2022,9,2022-09,14.401294498381878
2022-09-30,Nippon India MF,2.78,278000,177,2022,9,2022-09,8.996763754045308
2022-09-30,Kotak Mahindra MF,2.72,272000,168,2022,9,2022-09,8.802588996763754
2022-09-30,Aditya Birla Sun Life MF,2.85,285000,199,2022,9,2022-09,9.223300970873787
2022-09-30,Axis Mutual Fund,2.4,240000,95,2022,9,2022-09,7.766990291262135
2022-09-30,UTI Mutual Fund,2.32,232000,142,2022,9,2022-09,7.508090614886731
2022-09-30,Mirae Asset MF,1.08,108000,56,2022,9,2022-09,3.4951456310679614
2022-09-30,DSP Mutual Fund,1.12,112000,88,2022,9,2022-09,3.6245954692556634
2023-03-31,SBI Mutual Fund,7.17,717000,186,2023,3,2023-03,22.163833075734157
2023-03-31,ICICI Prudential MF,5.0,500000,216,2023,3,2023-03,15.455950540958268
2023-03-31,HDFC Mutual Fund,4.5,450000,195,2023,3,2023-03,13.910355486862441
2023-03-31,Nippon India MF,2.93,293000,177,2023,3,2023-03,9.057187017001546
2023-03-31,Kotak Mahindra MF,2.89,289000,168,2023,3,2023-03,8.93353941267388
2023-03-31,Aditya Birla Sun Life MF,2.75,275000,199,2023,3,2023-03,8.500772797527048
2023-03-31,Axis Mutual Fund,2.41,241000,95,2023,3,2023-03,7.449768160741886
2023-03-31,UTI Mutual Fund,2.39,239000,142,2023,3,2023-03,7.387944358578053
2023-03-31,Mirae Asset MF,1.16,116000,56,2023,3,2023-03,3.5857805255023183
2023-03-31,DSP Mutual Fund,1.15,115000,88,2023,3,2023-03,3.554868624420402
2023-09-30,SBI Mutual Fund,8.45,845000,186,2023,9,2023-09,22.581507215392836
2023-09-30,ICICI Prudential MF,5.9,590000,216,2023,9,2023-09,15.766969535008016
2023-09-30,HDFC Mutual Fund,5.35,535000,195,2023,9,2023-09,14.297167290219134
2023-09-30,Nippon India MF,3.4,340000,177,2023,9,2023-09,9.086050240513096
2023-09-30,Kotak Mahindra MF,3.25,325000,168,2023,9,2023-09,8.6851950828434
2023-09-30,Aditya Birla Sun Life MF,3.08,308000,199,2023,9,2023-09,8.230892570817744
2023-09-30,Axis Mutual Fund,2.6,260000,95,2023,9,2023-09,6.948156066274719
2023-09-30,UTI Mutual Fund,2.65,265000,142,2023,9,2023-09,7.081774452164617
2023-09-30,Mirae Asset MF,1.42,142000,56,2023,9,2023-09,3.7947621592731156
2023-09-30,DSP Mutual Fund,1.32,132000,88,2023,9,2023-09,3.527525387493319
2024-03-31,SBI Mutual Fund,10.0,1000000,186,2024,3,2024-03,22.857142857142858
2024-03-31,ICICI Prudential MF,6.8,680000,216,2024,3,2024-03,15.542857142857141
2024-03-31,HDFC Mutual Fund,6.45,645000,195,2024,3,2024-03,14.742857142857144
2024-03-31,Nippon India MF,4.3,430000,177,2024,3,2024-03,9.828571428571427
2024-03-31,Kotak Mahindra MF,3.8,380000,168,2024,3,2024-03,8.685714285714285
2024-03-31,Aditya Birla Sun Life MF,3.4,340000,199,2024,3,2024-03,7.7714285714285705
2024-03-31,Axis Mutual Fund,2.8,280000,95,2024,3,2024-03,6.4
2024-03-31,UTI Mutual Fund,2.9,290000,142,2024,3,2024-03,6.628571428571428
2024-03-31,Mirae Asset MF,1.75,175000,56,2024,3,2024-03,4.0
2024-03-31,DSP Mutual Fund,1.55,155000,88,2024,3,2024-03,3.5428571428571427
2024-09-30,SBI Mutual Fund,10.8,1080000,186,2024,9,2024-09,22.847471969536702
2024-09-30,ICICI Prudential MF,7.42,742000,216,2024,9,2024-09,15.697059445737255
2024-09-30,HDFC Mutual Fund,7.1,710000,195,2024,9,2024-09,15.020097313306538
2024-09-30,Nippon India MF,4.68,468000,177,2024,9,2024-09,9.900571186799239
2024-09-30,Kotak Mahindra MF,4.05,405000,168,2024,9,2024-09,8.567801988576264
2024-09-30,Aditya Birla Sun Life MF,3.62,362000,199,2024,9,2024-09,7.658134123122489
2024-09-30,Axis Mutual Fund,2.9,290000,95,2024,9,2024-09,6.134969325153374
2024-09-30,UTI Mutual Fund,3.08,308000,142,2024,9,2024-09,6.515760524645653
2024-09-30,Mirae Asset MF,1.9,190000,56,2024,9,2024-09,4.019462661307383
2024-09-30,DSP Mutual Fund,1.72,172000,88,2024,9,2024-09,3.6386714618151044
2024-12-31,SBI Mutual Fund,11.14,1114000,186,2024,12,2024-12,21.146545178435836
2024-12-31,ICICI Prudential MF,8.74,874000,216,2024,12,2024-12,16.590736522399393
2024-12-31,HDFC Mutual Fund,7.87,787000,195,2024,12,2024-12,14.939255884586181
