scheme_name_master,fund_house_master,category_master,return_5yr_pct
ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,23.8
Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,22.62
Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,21.88
SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,21.82
SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,20.67
DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,20.61
DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,19.0
Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,18.94
Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,17.75
HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,17.69
