scheme_name_master,fund_house_master,category_master,sharpe_ratio,sortino_ratio,std_dev_ann_pct,max_drawdown_pct
ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,7.68,10.37,0.5,-2.62
Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,6.18,9.7,0.5,-3.81
ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,5.14,8.76,0.5,-3.66
HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,1.84,2.79,4.0,-6.01
SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,1.52,2.11,4.0,-2.3
Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,1.33,2.38,4.0,-2.23
Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,1.06,1.66,14.0,-17.07
HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,1.06,1.7,14.0,-17.41
ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,1.03,1.27,14.0,-26.59
Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,1.0,1.68,14.0,-16.07
