scheme_name_master,fund_house_master,category_master,return_1yr_pct
ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,24.93
SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,24.56
Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,21.97
Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,21.3
SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,20.59
DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,20.2
HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,19.98
UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,17.43
Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,17.12
ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,16.67
