amfi_code,sector,dominant_sector_weight_pct
100016,IT,25.9
100033,Banking,35.97
101206,Banking,25.09
101207,Pharma,35.07
102885,Utilities,28.95
102886,Consumer Goods,18.99
102887,Pharma,39.04
118632,Telecom,30.44
118633,Banking,34.18
118634,FMCG,25.23
118635,IT,39.35
119092,IT,48.69
119093,IT,26.67
119094,FMCG,23.17
119095,IT,24.25
119551,Utilities,21.33
119552,Automobile,32.48
119598,IT,31.84
119599,Banking,34.08
120503,FMCG,30.67
120504,Banking,35.61
120505,Pharma,40.75
120506,Banking,30.4
120841,Pharma,27.46
120842,Automobile,26.66
120843,Utilities,19.94
125497,IT,26.92
125498,Banking,41.2
148567,Banking,30.78
148568,Banking,33.8
148569,Banking,39.82
149322,Banking,28.64
149323,Pharma,41.339999999999996
149324,Pharma,32.519999999999996
