scheme_name_master,fund_house_master,category_master,return_1yr_pct,return_3yr_pct,return_5yr_pct,morningstar_rating
SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,24.56,23.39,20.67,5
ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,24.93,22.38,23.8,5
HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,15.43,16.58,17.69,5
Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,15.74,15.65,13.5,5
UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,16.3,15.61,15.86,5
UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,17.43,15.34,15.78,5
Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,14.88,15.18,18.94,5
HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,10.94,14.84,11.32,5
Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,15.12,14.81,12.68,5
Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,14.91,14.56,15.68,5
ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,14.82,13.78,12.86,5
Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,11.16,13.58,14.26,5
DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,11.96,12.82,12.35,5
Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,10.14,11.77,12.31,5
ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,8.89,7.68,7.94,5
SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,5.34,6.07,5.43,5
ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,6.18,5.14,7.95,5
