fund_house_master,number_of_funds,avg_1yr_return,avg_3yr_return,avg_5yr_return,avg_alpha,avg_sharpe,avg_sortino,avg_volatility,avg_drawdown
Aditya Birla Sun Life MF,3,15.31,13.766666666666666,14.87,1.4533333333333334,2.34,3.8266666666666667,13.166666666666666,-14.113333333333335
Axis Mutual Fund,4,15.655,15.035,17.34,1.1925,0.84,1.3425,18.0,-22.9425
DSP Mutual Fund,3,15.426666666666668,16.686666666666667,17.32,1.1766666666666667,0.8733333333333334,1.4533333333333331,19.333333333333332,-21.900000000000002
HDFC Mutual Fund,5,12.931999999999999,13.491999999999999,12.95,1.1480000000000001,1.106,1.752,14.0,-20.562
ICICI Prudential MF,5,13.866,13.294,12.514,0.966,2.292,3.142,12.5,-19.77
Kotak Mahindra MF,4,12.872499999999999,13.0775,13.2325,1.6375,2.2475,3.4699999999999998,12.375,-15.7725
Mirae Asset MF,3,13.729999999999999,14.316666666666668,14.206666666666665,1.2866666666666668,0.9233333333333333,1.4133333333333333,15.666666666666666,-24.28
Nippon India MF,5,13.578,12.712,14.463999999999999,1.21,0.986,1.584,14.0,-18.812
SBI Mutual Fund,5,15.632,15.252,15.319999999999999,1.322,1.016,1.542,16.4,-17.312
UTI Mutual Fund,3,15.829999999999998,14.35,14.316666666666668,1.28,0.9033333333333333,1.29,16.0,-16.663333333333334
