amfi_code,number_of_stocks,total_portfolio_weight,average_holding_weight
100016,10,100.0,10.0
100033,9,100.0,11.11111111111111
101206,10,100.01,10.001000000000001
101207,8,99.99,12.49875
102885,9,100.0,11.11111111111111
102886,11,99.98,9.08909090909091
102887,10,100.00999999999999,10.001
118632,8,100.02000000000001,12.502500000000001
118633,11,100.0,9.090909090909092
118634,10,100.0,10.0
118635,8,99.99,12.49875
119092,10,99.99,9.998999999999999
119093,10,100.0,10.0
119094,9,100.01,11.112222222222222
119095,11,99.99000000000001,9.090000000000002
119551,10,100.0,10.0
119552,11,100.01,9.091818181818182
119598,12,99.99,8.3325
119599,8,100.0,12.5
120503,8,100.0,12.5
120504,11,100.01,9.091818181818182
120505,8,100.02,12.5025
120506,9,100.02,11.113333333333333
120841,10,100.01,10.001000000000001
120842,10,99.99,9.998999999999999
120843,10,100.0,10.0
125497,8,100.0,12.5
125498,8,100.0,12.5
148567,8,99.99,12.49875
148568,8,99.99,12.49875
148569,9,99.97999999999999,11.108888888888888
149322,9,99.99,11.11
149323,9,100.0,11.11111111111111
149324,12,100.0,8.333333333333334
