amfi_code,number_of_stocks,total_portfolio_weight,average_holding_weight,dominant_sector,dominant_sector_weight_pct,top_stock_symbol,top_stock_name,top_stock_weight_pct
100016,10,100.0,10.0,IT,25.9,WIPRO,Wipro Ltd,25.9
100033,9,100.0,11.11111111111111,Banking,35.97,M&M,Mahindra & Mahindra Ltd,26.07
101206,10,100.01,10.001000000000001,Banking,25.09,M&M,Mahindra & Mahindra Ltd,19.02
101207,8,99.99,12.49875,Pharma,35.07,SUNPHARMA,Sun Pharmaceutical Industries,35.07
102885,9,100.0,11.11111111111111,Utilities,28.95,NTPC,NTPC Ltd,28.95
102886,11,99.98,9.08909090909091,Consumer Goods,18.99,TITAN,Titan Company Ltd,18.99
102887,10,100.00999999999999,10.001,Pharma,39.04,CIPLA,Cipla Ltd,19.73
118632,8,100.02000000000001,12.502500000000001,Telecom,30.44,BHARTIARTL,Bharti Airtel Ltd,30.44
118633,11,100.0,9.090909090909092,Banking,34.18,AXISBANK,Axis Bank Ltd,20.73
118634,10,100.0,10.0,FMCG,25.23,NESTLEIND,Nestle India Ltd,13.59
118635,8,99.99,12.49875,IT,39.35,SBIN,State Bank of India,17.85
119092,10,99.99,9.998999999999999,IT,48.69,INFY,Infosys Ltd,38.18
119093,10,100.0,10.0,IT,26.67,BAJFINANCE,Bajaj Finance Ltd,20.22
119094,9,100.01,11.112222222222222,FMCG,23.17,HINDUNILVR,Hindustan Unilever Ltd,23.17
119095,11,99.99000000000001,9.090000000000002,IT,24.25,HINDUNILVR,Hindustan Unilever Ltd,17.8
119551,10,100.0,10.0,Utilities,21.33,HCLTECH,HCL Technologies Ltd,18.22
119552,11,100.01,9.091818181818182,Automobile,32.48,TATAMOTOR,Tata Motors Ltd,17.88
119598,12,99.99,8.3325,IT,31.84,RELIANCE,Reliance Industries Ltd,16.5
119599,8,100.0,12.5,Banking,34.08,GRASIM,Grasim Industries Ltd,28.25
120503,8,100.0,12.5,FMCG,30.67,NESTLEIND,Nestle India Ltd,20.69
120504,11,100.01,9.091818181818182,Banking,35.61,POWERGRID,Power Grid Corporation,17.37
120505,8,100.02,12.5025,Pharma,40.75,SUNPHARMA,Sun Pharmaceutical Industries,23.46
120506,9,100.02,11.113333333333333,Banking,30.4,KOTAKBANK,Kotak Mahindra Bank,21.47
120841,10,100.01,10.001000000000001,Pharma,27.46,INDUSINDBK,IndusInd Bank Ltd,22.44
120842,10,99.99,9.998999999999999,Automobile,26.66,TATAMOTOR,Tata Motors Ltd,19.5
120843,10,100.0,10.0,Utilities,19.94,NTPC,NTPC Ltd,19.94
125497,8,100.0,12.5,IT,26.92,GRASIM,Grasim Industries Ltd,19.04
125498,8,100.0,12.5,Banking,41.2,HDFCBANK,HDFC Bank Ltd,22.83
148567,8,99.99,12.49875,Banking,30.78,GRASIM,Grasim Industries Ltd,22.93
148568,8,99.99,12.49875,Banking,33.8,SBIN,State Bank of India,28.61
148569,9,99.97999999999999,11.108888888888888,Banking,39.82,BHARTIARTL,Bharti Airtel Ltd,25.53
149322,9,99.99,11.11,Banking,28.64,DRREDDY,Dr. Reddy's Laboratories,18.28
149323,9,100.0,11.11111111111111,Pharma,41.339999999999996,CIPLA,Cipla Ltd,22.84
149324,12,100.0,8.333333333333334,Pharma,32.519999999999996,BAJFINANCE,Bajaj Finance Ltd,19.71
