scheme_name_master,return_1yr_pct,std_dev_ann_pct,sharpe_ratio,risk_grade
ABSL Small Cap Fund - Regular - Growth,24.93,25.0,0.9,Very High
SBI Small Cap Fund - Regular Plan - Growth,24.56,25.0,0.94,Very High
Axis Small Cap Fund - Regular - Growth,21.97,25.0,0.84,Very High
Nippon India Small Cap Fund - Regular - Growth,21.3,25.0,0.81,Very High
SBI Small Cap Fund - Direct Plan - Growth,20.59,25.0,0.93,Very High
DSP Small Cap Fund - Regular - Growth,20.2,25.0,0.8,Very High
HDFC Mid-Cap Opportunities Fund - Direct - Growth,19.98,19.0,0.8,High
UTI Flexi Cap Fund - Regular - Growth,17.43,16.0,0.96,Moderately High
Kotak Emerging Equity Fund - Regular - Growth,17.12,19.0,0.96,High
ICICI Pru Value Discovery Fund - Regular - Growth,16.67,15.0,0.98,Moderately High
UTI Mid Cap Fund - Regular - Growth,16.3,19.0,0.82,High
Nippon India Large Cap Fund - Regular - Growth,15.84,14.0,1.0,Moderate
Kotak Flexicap Fund - Regular - Growth,15.74,16.0,0.98,Moderately High
ICICI Pru Bluechip Fund - Regular - Growth,15.63,14.0,0.82,Moderate
HDFC Mid-Cap Opportunities Fund - Regular - Growth,15.43,19.0,0.87,High
SBI Bluechip Fund - Direct Plan - Growth,15.25,14.0,0.81,Moderate
Mirae Asset Large Cap Fund - Regular - Growth,15.12,14.0,1.06,Moderate
Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.91,16.0,0.91,Moderately High
Axis Midcap Fund - Regular - Growth,14.88,19.0,0.8,High
ABSL Frontline Equity Fund - Regular - Growth,14.82,14.0,0.98,Moderate
Nippon India Large Cap Fund - Direct - Growth,14.42,14.0,0.88,Moderate
Kotak Bluechip Fund - Regular - Growth,14.37,14.0,0.87,Moderate
ICICI Pru Bluechip Fund - Direct - Growth,14.12,14.0,1.03,Moderate
DSP Midcap Fund - Regular - Growth,14.12,19.0,0.9,High
ICICI Pru Midcap Fund - Regular - Growth,14.02,19.0,0.95,High
Axis Bluechip Fund - Direct - Growth,13.95,14.0,0.87,Moderate
UTI Nifty 50 Index Fund - Regular - Growth,13.76,13.0,0.93,Moderate
SBI Bluechip Fund - Regular Plan - Growth,12.42,14.0,0.88,Moderate
DSP Top 100 Equity Fund - Regular - Growth,11.96,14.0,0.92,Moderate
Axis Bluechip Fund - Regular - Growth,11.82,14.0,0.85,Moderate
HDFC Top 100 Fund - Direct Plan - Growth,11.48,14.0,0.96,Moderate
Mirae Asset Tax Saver Fund - Regular - Growth,11.16,17.0,0.8,High
HDFC Top 100 Fund - Regular Plan - Growth,10.94,14.0,1.06,Moderate
Nippon India ETF Nifty 50 BeES,10.14,13.0,0.91,Moderate
ICICI Pru Liquid Fund - Regular - Growth,8.89,0.5,7.68,Low
HDFC Short Term Debt Fund - Regular - Growth,6.83,4.0,1.84,Low
Nippon India Gilt Securities Fund - Regular - Growth,6.19,4.0,1.33,Low
ABSL Liquid Fund - Regular - Growth,6.18,0.5,5.14,Low
SBI Magnum Gilt Fund - Regular Plan - Growth,5.34,4.0,1.52,Low
Kotak Liquid Fund - Regular - Growth,4.26,0.5,6.18,Low
