scheme_name_master,fund_house_master,category_master,max_drawdown_pct,return_1yr_pct
HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,-33.5,11.48
Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,-33.15,14.91
Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,-32.38,14.88
HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,-32.22,19.98
Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,-30.87,21.3
Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,-27.54,11.82
DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,-26.99,14.12
Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,-26.75,10.14
ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,-26.59,14.12
ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,-25.91,15.63
