scheme_name_master,max_drawdown_pct,return_1yr_pct,risk_grade
HDFC Top 100 Fund - Direct Plan - Growth,-33.5,11.48,Moderate
Mirae Asset Emerging Bluechip Fund - Regular - Growth,-33.15,14.91,Moderately High
Axis Midcap Fund - Regular - Growth,-32.38,14.88,High
HDFC Mid-Cap Opportunities Fund - Direct - Growth,-32.22,19.98,High
Nippon India Small Cap Fund - Regular - Growth,-30.87,21.3,Very High
Axis Bluechip Fund - Regular - Growth,-27.54,11.82,Moderate
DSP Midcap Fund - Regular - Growth,-26.99,14.12,High
Nippon India ETF Nifty 50 BeES,-26.75,10.14,Moderate
ICICI Pru Bluechip Fund - Direct - Growth,-26.59,14.12,Moderate
ICICI Pru Bluechip Fund - Regular - Growth,-25.91,15.63,Moderate
SBI Small Cap Fund - Direct Plan - Growth,-24.78,20.59,Very High
SBI Bluechip Fund - Direct Plan - Growth,-24.43,15.25,Moderate
UTI Nifty 50 Index Fund - Regular - Growth,-24.42,13.76,Moderate
ABSL Small Cap Fund - Regular - Growth,-23.61,24.93,Very High
Mirae Asset Tax Saver Fund - Regular - Growth,-22.62,11.16,High
Kotak Emerging Equity Fund - Regular - Growth,-21.92,17.12,High
ICICI Pru Value Discovery Fund - Regular - Growth,-21.89,16.67,Moderately High
ICICI Pru Midcap Fund - Regular - Growth,-21.84,14.02,High
DSP Top 100 Equity Fund - Regular - Growth,-21.7,11.96,Moderate
SBI Bluechip Fund - Regular Plan - Growth,-21.7,12.42,Moderate
Kotak Flexicap Fund - Regular - Growth,-19.5,15.74,Moderately High
Nippon India Large Cap Fund - Direct - Growth,-18.14,14.42,Moderate
Kotak Bluechip Fund - Regular - Growth,-17.86,14.37,Moderate
HDFC Top 100 Fund - Regular Plan - Growth,-17.41,10.94,Moderate
Axis Bluechip Fund - Direct - Growth,-17.4,13.95,Moderate
Mirae Asset Large Cap Fund - Regular - Growth,-17.07,15.12,Moderate
DSP Small Cap Fund - Regular - Growth,-17.01,20.2,Very High
Nippon India Large Cap Fund - Regular - Growth,-16.07,15.84,Moderate
ABSL Frontline Equity Fund - Regular - Growth,-15.07,14.82,Moderate
Axis Small Cap Fund - Regular - Growth,-14.45,21.97,Very High
HDFC Mid-Cap Opportunities Fund - Regular - Growth,-13.67,15.43,High
UTI Mid Cap Fund - Regular - Growth,-13.43,16.3,High
SBI Small Cap Fund - Regular Plan - Growth,-13.35,24.56,Very High
UTI Flexi Cap Fund - Regular - Growth,-12.14,17.43,Moderately High
HDFC Short Term Debt Fund - Regular - Growth,-6.01,6.83,Low
Kotak Liquid Fund - Regular - Growth,-3.81,4.26,Low
ABSL Liquid Fund - Regular - Growth,-3.66,6.18,Low
ICICI Pru Liquid Fund - Regular - Growth,-2.62,8.89,Low
SBI Magnum Gilt Fund - Regular Plan - Growth,-2.3,5.34,Low
Nippon India Gilt Securities Fund - Regular - Growth,-2.23,6.19,Low
