transaction_year,transaction_month,redemption_count,total_redemption_amount_lakh,average_redemption_amount_lakh,year_month
2024,1,311,795.03125,2.556370578778135,2024-01
2024,2,268,698.71989,2.6071637686567164,2024-02
2024,3,299,765.54972,2.560366956521739,2024-03
2024,4,282,674.4589,2.3916982269503544,2024-04
2024,5,308,772.37848,2.5077223376623374,2024-05
2024,6,340,841.48612,2.4749591764705885,2024-06
2024,7,268,670.75667,2.502823395522388,2024-07
2024,8,320,812.37196,2.538662375,2024-08
2024,9,244,624.97934,2.561390737704918,2024-09
2024,10,287,739.35279,2.57614212543554,2024-10
2024,11,282,699.53828,2.48063219858156,2024-11
2024,12,278,708.24645,2.547649100719424,2024-12
2025,1,314,752.71254,2.397173694267516,2025-01
2025,2,268,648.21908,2.4187279104477613,2025-02
2025,3,311,781.8237,2.5139025723472668,2025-03
2025,4,300,763.54759,2.5451586333333336,2025-04
2025,5,287,696.08215,2.425373344947735,2025-05
