transaction_year,transaction_month,sip_transaction_count,total_sip_amount_lakh,average_sip_amount_lakh,year_month
2024,1,1146,126.35349,0.11025609947643979,2024-01
2024,2,1154,126.13376,0.10930135181975736,2024-02
2024,3,1177,120.88413,0.10270529311809685,2024-03
2024,4,1186,135.12385,0.11393241989881957,2024-04
2024,5,1155,132.18606,0.1144468051948052,2024-05
2024,6,1155,131.3115,0.11368961038961038,2024-06
2024,7,1235,135.13884,0.10942416194331983,2024-07
2024,8,1154,125.21433,0.10850461871750433,2024-08
2024,9,1142,122.88778,0.10760751313485115,2024-09
2024,10,1167,124.67875,0.10683697514995714,2024-10
2024,11,1108,123.21673,0.11120643501805054,2024-11
2024,12,1179,129.2013,0.10958549618320611,2024-12
2025,1,1234,130.82145,0.10601414100486224,2025-01
2025,2,1041,113.63922,0.10916351585014408,2025-02
2025,3,1196,134.4936,0.11245284280936453,2025-03
2025,4,1086,121.32001,0.11171271639042357,2025-04
2025,5,1201,139.73011,0.11634480432972523,2025-05
