transaction_year,transaction_month,transaction_count,total_amount_lakh,year_month
2024,1,1949,2176.48305,2024-01
2024,2,1861,1938.89416,2024-02
2024,3,1974,2134.53498,2024-03
2024,4,1952,2085.03874,2024-04
2024,5,1901,2051.26352,2024-05
2024,6,1989,2222.65329,2024-06
2024,7,1968,1977.32026,2024-07
2024,8,1985,2278.05125,2024-08
2024,9,1833,1885.61816,2024-09
2024,10,1957,2136.51354,2024-10
2024,11,1863,1969.3049,2024-11
2024,12,1978,2150.65667,2024-12
2025,1,2020,2066.44171,2025-01
2025,2,1754,1829.23366,2025-02
2025,3,1973,2196.67398,2025-03
2025,4,1859,2080.57871,2025-04
2025,5,1962,2036.54372,2025-05
