amfi_code,stock_symbol,stock_name,sector,weight_pct
119092,INFY,Infosys Ltd,IT,38.18
101207,SUNPHARMA,Sun Pharmaceutical Industries,Pharma,35.07
118632,BHARTIARTL,Bharti Airtel Ltd,Telecom,30.44
102885,NTPC,NTPC Ltd,Utilities,28.95
148568,SBIN,State Bank of India,Banking,28.61
119599,GRASIM,Grasim Industries Ltd,Diversified,28.25
100033,M&M,Mahindra & Mahindra Ltd,Automobile,26.07
100016,WIPRO,Wipro Ltd,IT,25.9
148569,BHARTIARTL,Bharti Airtel Ltd,Telecom,25.53
120505,SUNPHARMA,Sun Pharmaceutical Industries,Pharma,23.46
