stock_symbol,stock_name,number_of_holdings,number_of_funds,total_weight_pct,average_weight_pct
BHARTIARTL,Bharti Airtel Ltd,15,15,145.62,9.708
GRASIM,Grasim Industries Ltd,14,14,169.23,12.087857142857143
NTPC,NTPC Ltd,13,13,155.15,11.934615384615386
HCLTECH,HCL Technologies Ltd,13,13,147.17,11.32076923076923
ICICIBANK,ICICI Bank Ltd,13,13,122.06,9.38923076923077
RELIANCE,Reliance Industries Ltd,13,13,117.91,9.07
AXISBANK,Axis Bank Ltd,12,12,150.75,12.5625
TATAMOTOR,Tata Motors Ltd,12,12,114.68,9.556666666666667
ULTRACEMCO,UltraTech Cement Ltd,12,12,105.03,8.7525
ADANIPORT,Adani Ports & SEZ Ltd,12,12,101.63000000000001,8.469166666666668
WIPRO,Wipro Ltd,11,11,134.84,12.258181818181818
INFY,Infosys Ltd,11,11,128.78,11.707272727272727
HINDUNILVR,Hindustan Unilever Ltd,11,11,125.79,11.435454545454546
BAJFINANCE,Bajaj Finance Ltd,11,11,119.09,10.826363636363636
POWERGRID,Power Grid Corporation,11,11,110.39,10.035454545454545
