amfi_code,starting_nav,latest_nav,minimum_nav,maximum_nav,cumulative_return_pct
100016,520.4608,583.6113,411.1759,669.7236,12.133574709180795
100025,26.3169,31.8843,26.1366,32.6726,21.15522724941008
100033,107.3758,342.0072,93.5553,367.6979,218.51422760063255
101206,305.0996,773.2939,297.0795,808.0982,153.4562156095911
101207,38.5736,53.9836,36.9015,80.3517,39.949602837173614
101208,310.7415,410.1021,310.6977,410.1021,31.97532354062784
102885,89.8728,187.7797,83.5999,187.9295,108.93941214694544
102886,119.2905,125.564,114.1285,169.8164,5.259010566641931
102887,191.0721,378.9657,149.9155,419.3008,98.33649182690722
118632,42.8339,110.5554,42.8033,114.4385,158.1025776312687
118633,47.1836,91.601,45.1271,92.6175,94.13736976407056
118634,69.1076,134.6683,58.3669,138.9727,94.86756883468676
118635,170.3428,326.7508,150.4968,333.8906,91.81955445137687
118636,30.1152,37.8243,30.1152,37.8243,25.59870098820529
119092,38.7466,50.8387,35.1288,56.6987,31.20815761899109
119093,41.814,58.4203,33.0339,59.9798,39.71468886019037
119094,68.3023,203.8581,61.5099,211.7678,198.46447337790968
119095,52.5238,56.1319,48.0021,106.8214,6.869457274606949
119120,42.1391,54.2038,41.7962,55.2211,28.63065419052615
119551,54.3856,149.3216,50.0295,151.4373,174.56091318290134
119552,58.4174,137.7323,56.4224,139.4982,135.77273209694374
119598,89.8738,309.205,88.0925,322.0353,244.0435366035485
119599,96.4565,105.4849,78.6152,165.7647,9.360074230352522
120503,55.3983,118.1496,55.3983,118.8713,113.27297047021298
120504,60.1474,151.1311,59.4577,164.2321,151.26788522862168
120505,135.872,473.764,133.1682,476.3696,248.68405558172392
120506,202.0453,404.4207,202.0343,410.2909,100.16337920258476
120507,285.7447,388.5939,285.7447,388.5939,35.99338850379377
120841,275.837,482.127,246.6585,484.6292,74.78692126146964
120842,62.1265,82.6457,58.0567,83.298,33.028095901105004
120843,49.9131,163.2397,44.8104,180.7074,227.04780909220227
120844,3180.6318,4268.5497,3180.6318,4268.5497,34.20445900088151
125497,560.1443,1204.9571,529.6352,1286.0621,115.11548006469047
125498,117.5969,188.3619,99.5501,193.5136,60.17590599752203
148567,70.2514,230.2708,70.2514,251.6557,227.78108336631013
148568,84.0757,205.451,79.3949,209.3612,144.36430502511425
148569,28.862,97.7435,28.311,97.7435,238.6580971519645
149322,348.7159,606.2349,296.9505,658.5042,73.8477941499083
149323,78.4622,245.3651,72.9664,257.6666,212.7175888517019
149324,81.6814,279.7511,73.6757,336.6937,242.4905792506005
