rank,amfi_code,scheme_name_master,fund_house_master,category_master,return_1yr_pct,return_3yr_pct,return_5yr_pct,alpha,sharpe_ratio,sortino_ratio,max_drawdown_pct,performance_score
1,101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,24.93,22.38,23.8,1.84,0.9,1.47,-23.61,74.91824434718419
2,119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,20.59,23.14,21.82,1.13,0.93,1.67,-24.78,63.83294041088983
3,119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,24.56,23.39,20.67,1.23,0.94,1.35,-13.35,62.77292857350969
4,118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,21.3,20.15,21.88,0.8,0.81,1.14,-30.87,58.97512765944835
5,120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,17.12,18.23,17.75,1.91,0.96,1.27,-21.92,58.1627466867881
6,119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,21.97,20.98,22.62,0.51,0.84,1.4,-14.45,53.28834424018841
7,119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,14.88,15.18,18.94,1.42,0.8,1.18,-32.38,52.50646858277841
8,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,14.91,14.56,15.68,1.7,0.91,1.55,-33.15,51.95893669719295
9,149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,20.2,20.08,20.61,0.69,0.8,1.23,-17.01,51.244480410364694
10,149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,14.12,17.16,19.0,1.02,0.9,1.5,-26.99,48.87276331620797
11,102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,17.43,15.34,15.78,1.79,0.96,1.37,-12.14,48.83076405634234
12,120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,15.74,15.65,13.5,1.85,0.98,1.57,-19.5,48.67090794213594
13,125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,19.98,15.29,15.85,0.9,0.8,1.38,-32.22,47.820694824075545
14,120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,14.02,18.08,17.55,0.89,0.95,1.45,-21.84,45.27541735489124
15,119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,15.25,11.3,14.23,1.78,0.81,1.29,-24.43,44.65839731122642
16,148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,15.12,14.81,12.68,1.62,1.06,1.66,-17.07,43.49627001419154
17,118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,14.42,12.33,14.72,1.7,0.88,1.48,-18.14,43.19565187368436
18,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,15.43,16.58,17.69,0.95,0.87,1.44,-13.67,42.6797575631851
19,120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,8.89,7.68,7.94,1.85,7.68,10.37,-2.62,42.67440954093471
20,149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,11.96,12.82,12.35,1.82,0.92,1.63,-21.7,41.94884856222986
21,102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,16.3,15.61,15.86,1.12,0.82,1.21,-13.43,41.594730671091405
22,118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,10.14,11.77,12.31,1.8,0.91,1.24,-26.75,40.412650667242346
23,125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,11.48,13.38,13.48,1.13,0.96,1.45,-33.5,40.042671645179084
24,119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,11.82,11.84,14.14,1.41,0.85,1.25,-27.54,39.897443885442186
25,119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,13.95,12.14,13.66,1.43,0.87,1.54,-17.4,38.550257509195134
26,101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,14.82,13.78,12.86,1.34,0.98,1.25,-15.07,38.293783010773595
27,120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,14.12,14.41,13.02,0.88,1.03,1.27,-26.59,37.73466080344723
28,118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,15.84,14.0,14.7,0.86,1.0,1.68,-16.07,37.18963964282962
29,120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,14.37,12.25,13.42,1.27,0.87,1.34,-17.86,37.01461944255371
30,120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,16.67,14.76,12.6,0.55,0.98,1.5,-21.89,34.814656409886695
31,119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,12.42,12.36,14.45,0.87,0.88,1.29,-21.7,33.94884973569606
32,102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,13.76,12.1,11.31,0.93,0.93,1.29,-24.42,32.772487337478
33,120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,4.26,6.18,8.26,1.52,6.18,9.7,-3.81,32.13465829371151
34,120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,15.63,11.54,11.46,0.66,0.82,1.12,-25.91,31.058634072177018
35,148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,11.16,13.58,14.26,0.54,0.8,1.03,-22.62,30.696821482553737
36,100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,10.94,14.84,11.32,0.78,1.06,1.7,-17.41,30.595218393854086
37,101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,6.18,5.14,7.95,1.18,5.14,8.76,-3.66,26.015340174619787
38,100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,6.83,7.37,6.41,1.98,1.84,2.79,-6.01,24.980636948684406
39,119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,5.34,6.07,5.43,1.6,1.52,2.11,-2.3,15.150585836677454
