sector,number_of_holdings,unique_stocks,total_weight_pct,average_weight_pct
Banking,60,6,652.26,10.871
IT,40,4,455.47,11.386750000000001
Pharma,38,4,407.45,10.72236842105263
Automobile,33,3,323.65,9.807575757575757
Utilities,24,2,265.54,11.064166666666667
FMCG,21,2,229.11,10.91
Infrastructure,22,2,192.16,8.734545454545454
Diversified,14,1,169.23,12.087857142857143
Telecom,15,1,145.62,9.708
Consumer Goods,9,1,127.61,14.178888888888888
NBFC,11,1,119.09,10.826363636363636
Energy,13,1,117.91,9.07
Cement,12,1,105.03,8.7525
Paints,10,1,89.86,8.986
