stock_symbol,stock_name,number_of_holdings,number_of_funds,total_weight_pct,average_weight_pct
GRASIM,Grasim Industries Ltd,14,14,169.23,12.087857142857143
NTPC,NTPC Ltd,13,13,155.15,11.934615384615386
AXISBANK,Axis Bank Ltd,12,12,150.75,12.5625
HCLTECH,HCL Technologies Ltd,13,13,147.17,11.32076923076923
BHARTIARTL,Bharti Airtel Ltd,15,15,145.62,9.708
WIPRO,Wipro Ltd,11,11,134.84,12.258181818181818
INFY,Infosys Ltd,11,11,128.78,11.707272727272727
TITAN,Titan Company Ltd,9,9,127.61,14.178888888888888
HINDUNILVR,Hindustan Unilever Ltd,11,11,125.79,11.435454545454546
ICICIBANK,ICICI Bank Ltd,13,13,122.06,9.38923076923077
BAJFINANCE,Bajaj Finance Ltd,11,11,119.09,10.826363636363636
SUNPHARMA,Sun Pharmaceutical Industries,10,10,118.8,11.879999999999999
RELIANCE,Reliance Industries Ltd,13,13,117.91,9.07
TATAMOTOR,Tata Motors Ltd,12,12,114.68,9.556666666666667
POWERGRID,Power Grid Corporation,11,11,110.39,10.035454545454545
M&M,Mahindra & Mahindra Ltd,10,10,110.28999999999999,11.029
CIPLA,Cipla Ltd,10,10,107.32,10.732
ULTRACEMCO,UltraTech Cement Ltd,12,12,105.03,8.7525
NESTLEIND,Nestle India Ltd,10,10,103.32000000000001,10.332
ADANIPORT,Adani Ports & SEZ Ltd,12,12,101.63000000000001,8.469166666666668
SBIN,State Bank of India,8,8,100.78,12.5975
INDUSINDBK,IndusInd Bank Ltd,9,9,99.58,11.064444444444444
MARUTI,Maruti Suzuki India Ltd,11,11,98.67999999999999,8.97090909090909
DIVISLAB,Divi's Laboratories,10,10,96.14999999999999,9.614999999999998
KOTAKBANK,Kotak Mahindra Bank,10,10,90.92,9.092
LT,Larsen & Toubro Ltd,10,10,90.53,9.053
ASIANPAINT,Asian Paints Ltd,10,10,89.86,8.986
HDFCBANK,HDFC Bank Ltd,8,8,88.17,11.02125
DRREDDY,Dr. Reddy's Laboratories,8,8,85.18,10.6475
TCS,Tata Consultancy Services,5,5,44.68,8.936
