scheme_name_master,sharpe_ratio,sortino_ratio,return_1yr_pct
ICICI Pru Liquid Fund - Regular - Growth,7.68,10.37,8.89
Kotak Liquid Fund - Regular - Growth,6.18,9.7,4.26
ABSL Liquid Fund - Regular - Growth,5.14,8.76,6.18
HDFC Short Term Debt Fund - Regular - Growth,1.84,2.79,6.83
SBI Magnum Gilt Fund - Regular Plan - Growth,1.52,2.11,5.34
Nippon India Gilt Securities Fund - Regular - Growth,1.33,2.38,6.19
Mirae Asset Large Cap Fund - Regular - Growth,1.06,1.66,15.12
HDFC Top 100 Fund - Regular Plan - Growth,1.06,1.7,10.94
ICICI Pru Bluechip Fund - Direct - Growth,1.03,1.27,14.12
Nippon India Large Cap Fund - Regular - Growth,1.0,1.68,15.84
ICICI Pru Value Discovery Fund - Regular - Growth,0.98,1.5,16.67
ABSL Frontline Equity Fund - Regular - Growth,0.98,1.25,14.82
Kotak Flexicap Fund - Regular - Growth,0.98,1.57,15.74
HDFC Top 100 Fund - Direct Plan - Growth,0.96,1.45,11.48
UTI Flexi Cap Fund - Regular - Growth,0.96,1.37,17.43
Kotak Emerging Equity Fund - Regular - Growth,0.96,1.27,17.12
ICICI Pru Midcap Fund - Regular - Growth,0.95,1.45,14.02
SBI Small Cap Fund - Regular Plan - Growth,0.94,1.35,24.56
UTI Nifty 50 Index Fund - Regular - Growth,0.93,1.29,13.76
SBI Small Cap Fund - Direct Plan - Growth,0.93,1.67,20.59
DSP Top 100 Equity Fund - Regular - Growth,0.92,1.63,11.96
Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.91,1.55,14.91
Nippon India ETF Nifty 50 BeES,0.91,1.24,10.14
DSP Midcap Fund - Regular - Growth,0.9,1.5,14.12
ABSL Small Cap Fund - Regular - Growth,0.9,1.47,24.93
Nippon India Large Cap Fund - Direct - Growth,0.88,1.48,14.42
SBI Bluechip Fund - Regular Plan - Growth,0.88,1.29,12.42
HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.87,1.44,15.43
Kotak Bluechip Fund - Regular - Growth,0.87,1.34,14.37
Axis Bluechip Fund - Direct - Growth,0.87,1.54,13.95
Axis Bluechip Fund - Regular - Growth,0.85,1.25,11.82
Axis Small Cap Fund - Regular - Growth,0.84,1.4,21.97
ICICI Pru Bluechip Fund - Regular - Growth,0.82,1.12,15.63
UTI Mid Cap Fund - Regular - Growth,0.82,1.21,16.3
SBI Bluechip Fund - Direct Plan - Growth,0.81,1.29,15.25
Nippon India Small Cap Fund - Regular - Growth,0.81,1.14,21.3
HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.8,1.38,19.98
Axis Midcap Fund - Regular - Growth,0.8,1.18,14.88
Mirae Asset Tax Saver Fund - Regular - Growth,0.8,1.03,11.16
DSP Small Cap Fund - Regular - Growth,0.8,1.23,20.2
