amfi_code,starting_nav,latest_nav,minimum_nav,maximum_nav,cumulative_return_pct
120505,135.872,473.764,133.1682,476.3696,248.68405558172392
119598,89.8738,309.205,88.0925,322.0353,244.0435366035485
149324,81.6814,279.7511,73.6757,336.6937,242.4905792506005
148569,28.862,97.7435,28.311,97.7435,238.6580971519645
148567,70.2514,230.2708,70.2514,251.6557,227.78108336631013
120843,49.9131,163.2397,44.8104,180.7074,227.04780909220227
100033,107.3758,342.0072,93.5553,367.6979,218.51422760063255
149323,78.4622,245.3651,72.9664,257.6666,212.7175888517019
119094,68.3023,203.8581,61.5099,211.7678,198.46447337790968
119551,54.3856,149.3216,50.0295,151.4373,174.56091318290134
