scheme_name_master,fund_house_master,return_3yr_pct
SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,23.39
SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,23.14
ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,22.38
Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,20.98
Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,20.15
DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,20.08
Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,18.23
ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,18.08
DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,17.16
HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,16.58
